ID	Symbol	adj.P.Val	P.Value	t	B	logFC
ILMN_1362033	Col8a1_predicted	0.000163513663822827	1.49965838798909e-07	-7.45109772737903	7.42446909265596	1.48032087842927
ILMN_1350146	Fbln2	0.000163513663822827	1.59966471583867e-07	-7.42183663424393	7.39075558829416	0.511785931727919
ILMN_1358189	Exosc4_predicted	0.000163513663822827	1.53033360915876e-07	7.44191435114568	7.38412544533224	-0.573453711127463
ILMN_1349048	Ucp2	0.000178696577931022	2.14216916225085e-07	-7.29010907947729	7.07927846604285	0.505317357379617
ILMN_1373142	Nppa	0.000187222590235991	2.41062696658693e-07	-7.23714172753129	6.98943733730463	2.2810626773866
ILMN_1373103	Atp1a2	0.000191994152568547	2.55730789728563e-07	7.21070457682991	6.91444145492599	-0.535832172027966
ILMN_1376258	Ddit4l	0.000196777974605695	2.70839462450675e-07	7.18505287391671	6.86926131040626	-0.801291891087557
ILMN_1349500	LOC499856	0.000289173619113164	4.10849168033621e-07	-6.99997272043894	6.49218435845559	0.98919619924227
ILMN_1372113	Alpl	0.000367914942564527	5.39057545825573e-07	-6.88038826359445	6.24728552191216	0.546799919626965
ILMN_1349102	RGD1562922_predicted	0.000477318891456195	7.41737832480878e-07	6.74087080099485	6.00801500134321	-0.587108080310779
ILMN_1368402	Uap1_predicted	0.00059044260984828	1.02238874857181e-06	-6.60166351557205	5.68662882444964	0.689015324086325
ILMN_1355327	Galntl1	0.000614135973774257	1.0906823669569e-06	-6.57373862441165	5.63974153184506	0.526958949149011
ILMN_1369644	RGD1564924_predicted	0.000616314519891472	1.14927895197983e-06	6.55116900187647	5.55980880755777	-0.509245088698176
ILMN_1365114	LOC498009	0.000675458855898396	1.32944014055683e-06	6.48850454721069	5.44739099201724	-0.627265600188565
ILMN_1362266	Ecm1	0.000675458855898396	1.29442864577737e-06	-6.49997378084951	5.43134096913804	0.631618926238904
ILMN_1365298	Mfap5_predicted	0.000675458855898396	1.3495381838755e-06	-6.48205943336981	5.40078233396205	1.17245723870325
ILMN_1367402	Impa2	0.000677964427086111	1.38464519140262e-06	6.471033099938	5.37134733092803	-0.688344504136088
ILMN_1355097	Hdac2	0.00068661342727056	1.43279452478428e-06	6.45636646980268	5.3621410203685	-0.647009150057562
ILMN_1350770	Scn3b	0.000766892419720977	1.66841577793046e-06	-6.39117625128417	5.23800471136335	0.639353033209288
ILMN_1359126	Prc1_predicted	0.000808254001568047	1.8282425188648e-06	-6.35210936386591	5.16884021455791	0.703053401701053
ILMN_1363923	Xlkd1_predicted	0.000870262054581056	2.15156031294947e-06	-6.28275786988465	4.9937890427214	0.665831325917246
ILMN_1365802	Gpx3	0.000870262054581056	2.16377370050789e-06	-6.28035140626373	4.96533878371064	0.946006473706831
ILMN_1364005	Rnd1	0.000938336364849328	2.41635258008529e-06	-6.23347100467745	4.89455629584463	0.600765511180098
ILMN_1362377	Dap	0.0010156485201141	2.72832374267754e-06	-6.18203319749198	4.74682527538944	0.592976683480583
ILMN_1361790	Ptgis	0.0010648405779303	2.93123100082931e-06	-6.15170531088458	4.68074348034608	0.788019075995681
ILMN_1354884	Fstl1	0.00121498344591975	3.45486854871207e-06	-6.08238041668914	4.53746241046902	0.746633392571301
ILMN_1368597	Dhrs7c_predicted	0.00127961653375604	3.89522676410701e-06	6.03192096436867	4.42653700751719	-0.547153486859777
ILMN_1361855	Nid2	0.00127961653375604	3.98299315049312e-06	-6.02256190548939	4.40380807449189	0.572068871737715
ILMN_1366607	Trh	0.00148177440227076	5.06966894828099e-06	-5.92148330788298	4.17444890510167	0.75569169086069
ILMN_1358081	Ldhd	0.00148177440227076	5.1315723206109e-06	5.9164100979702	4.16310035134248	-0.507946755106403
ILMN_1361586	Lrp16	0.00151177529596183	5.38822247797788e-06	5.89602110028811	4.12420155400103	-0.557864253285285
ILMN_1354330	Maoa	0.00157177324698721	6.00153173382321e-06	-5.85104843243143	4.01928400710342	0.82394855548293
ILMN_1363760	RGD1309036_predicted	0.00165749328198507	6.69679388450213e-06	5.80540646599694	3.92103869366475	-0.641006984823678
ILMN_1373952	Cspg2	0.00168585435713353	6.88623188990298e-06	-5.7938051709857	3.89981233456414	0.796735604260068
ILMN_1358490	Cdc2a	0.00172303230709953	7.14052155552952e-06	-5.77873260617384	3.86429832931745	0.667102692686608
ILMN_1370543	RGD1309307_predicted	0.00172303230709953	7.19109518569265e-06	5.77580010820951	3.85561433349957	-0.669691010218211
ILMN_1370875	Card9	0.00192193343805691	8.20442840002945e-06	5.72108802647011	3.73402351933927	-0.682490035358445
ILMN_1364113	Ctgf	0.00192193343805691	8.27720745422548e-06	-5.7174270671977	3.72685127927628	0.75377138373659
ILMN_1350180	Emp1	0.00193352261398294	8.41296524309943e-06	-5.71068474741668	3.70603850868832	0.734544458274371
ILMN_1376405	Scn4b	0.00226988181274294	1.01788422096096e-05	5.63185042898813	3.53159968125575	-0.570819579346399
ILMN_1351352	Loxl2_predicted	0.00231684907352881	1.06980554831504e-05	-5.61130560209447	3.48514416390954	0.702580974279396
ILMN_1358233	Eln	0.00243828505754374	1.17323554301034e-05	-5.57323657930004	3.40380312841303	1.42007364217012
ILMN_1369135	Hsd11b1	0.00252536268405912	1.28942285071615e-05	-5.53433971687028	3.3104251621856	0.504139945766816
ILMN_1352762	Ifitm3	0.00268509253942596	1.40674386028621e-05	-5.49851724790597	3.23048031379241	0.633072107502416
ILMN_1361935	MGC72973	0.00287295847843831	1.57543127680272e-05	-5.45199756505562	3.12617330131103	0.540377950044448
ILMN_1367752	Prss23	0.00287295847843831	1.63954447146032e-05	-5.43563011953024	3.08730376953892	0.577377919283732
ILMN_1352676	LOC302996	0.00362519224132368	2.28556275037945e-05	5.29966439326116	2.77266817269649	-0.513529630158835
ILMN_1358541	Igfbp6	0.00369753800615688	2.36400778265147e-05	-5.28588469343566	2.74861074634626	0.972306794601536
ILMN_1353887	Col5a1	0.00371874272785234	2.39407581378408e-05	-5.28072527484787	2.73651357668695	0.754402349214798
ILMN_1351917	Mgp	0.00383538998367978	2.53812793361158e-05	-5.25688359337737	2.68242959291467	0.670260851952095
ILMN_1360881	MGC112899	0.00399265741518837	2.74768858213469e-05	5.22453885140555	2.60772664863303	-0.588216410222186
ILMN_1363692	Tmeff2_predicted	0.00404986996136203	2.82940885897969e-05	-5.21259743021292	2.58080759910471	0.548961907027794
ILMN_1365004	RGD1562047_predicted	0.00407086757336751	2.87380874734908e-05	-5.20625490332173	2.55512609979059	0.636790038616491
ILMN_1356766	Mfap4	0.00430374145994054	3.0764213250918e-05	-5.17851614416258	2.50280577922372	1.01630177870726
ILMN_1360726	D1bwg1363e	0.00452862104619489	3.27738414300833e-05	-5.1527708642934	2.44401341940817	0.633188304831799
ILMN_1357522	Lrp1	0.00507481491450171	3.94304759595879e-05	-5.07763818295036	2.26975240837054	0.610356366177452
ILMN_1375112	Omd	0.00530252089223697	4.26122755181322e-05	-5.04614752667326	2.18903086934801	0.59588138141814
ILMN_1360149	Acta1	0.00550373052110296	4.60263138583337e-05	-5.01489578626871	2.12588339624442	0.6725863298043
ILMN_1359541	Fbn1	0.00550373052110296	4.78396114905935e-05	-4.99923550154758	2.09146079455447	0.945555700408621
ILMN_1355827	RGD1306959_predicted	0.00550373052110296	4.83892155110415e-05	-4.9946070352238	2.08144868675256	0.52860965658987
ILMN_1353696	Hbb	0.00550373052110296	4.84176422333791e-05	-4.99436908541742	2.07865259845023	0.5481781373144
ILMN_1370716	Dscr1	0.00550373052110296	4.96868702808958e-05	-4.98388599589644	2.05619217787417	0.601718245150332
ILMN_1360522	Qscn6	0.00550373052110296	4.99539125652717e-05	-4.98171479835742	2.04846375260555	0.526863374161758
ILMN_1650332	Cacna1g	0.00563123066473773	5.27545029640661e-05	-4.95962481199507	1.97929692038768	0.612002953911722
ILMN_1350070	Ankrd23_predicted	0.00599209651286935	5.85295579110801e-05	-4.91758375723451	1.87964260695961	0.682769897903897
ILMN_1370644	Ckap4_predicted	0.00604738289152865	6.17176186814215e-05	-4.89613287796497	1.85133198360851	0.515423180424746
ILMN_1357041	Pcp4	0.00636968622828992	6.64598971561573e-05	-4.86620615194185	1.77780923974749	1.90025998559419
ILMN_1363878	LOC500621	0.00638643962382974	6.8793679064132e-05	4.85225945134434	1.74615569921232	-0.556142439830476
ILMN_1364260	Anxa2	0.00675545084411969	7.51977078367587e-05	-4.8163062205376	1.67096477398898	0.53784851056194
ILMN_1376663	LOC287167	0.00675545084411969	7.57590597738093e-05	-4.81330303592828	1.66138904172146	0.553278894013747
ILMN_1376846	Loxl1	0.00675545084411969	7.62398217204092e-05	-4.81074874983339	1.65766999302561	0.881669472330742
ILMN_1356639	Hba-a1	0.00681153282737262	7.83282423429166e-05	-4.79983792513306	1.62676288759008	0.549346041526316
ILMN_1368575	Lgi4	0.00681153282737262	7.8085966626703e-05	-4.8010885718942	1.62230564623279	0.706037971384127
ILMN_1360414	LOC497724	0.00694058547475107	8.07367310919851e-05	-4.78761262281339	1.60365863870246	0.55197116179523
ILMN_1372866	Slc25a20	0.00749108418358984	9.19321802642781e-05	4.73521736109051	1.4841324308959	-0.548735092084067
ILMN_1530405	Loxl1	0.00794705410733603	9.91485239160603e-05	-4.7047437276662	1.40951634868002	0.799531467599326
ILMN_1373926	Pthlh	0.00813686192165484	0.000102961667969259	-4.68952968441177	1.34420934797976	0.579342892412628
ILMN_1364277	Gpt1	0.00840145170881428	0.000110170972061908	4.66225217144952	1.3124270173158	-0.568092868988717
ILMN_1376823	Lox	0.00852033408949992	0.000112731854489676	-4.65299227899733	1.29161015760055	0.761402143360781
ILMN_1367518	Sgca_predicted	0.00859162248153741	0.000114763399149253	4.64579542000489	1.27758333458424	-0.59132203918578
ILMN_1366296	Prph1	0.00893328927973896	0.000119782149912586	-4.62855047036587	1.21437974986716	0.56318867774046
ILMN_1358229	Prps2	0.00909914642029668	0.000124430009210646	-4.61321482557553	1.18737891211825	0.570862658986446
ILMN_1650259	Plod2	0.0097353116430933	0.000137451898170922	-4.5731286628125	1.10814769984034	0.547765717771401
ILMN_1361833	Gnpda2_predicted	0.00945810446227986	0.00013101845190389	-4.59243341563623	1.105384206468	0.583856769616681
ILMN_1364419	Cnp1	0.0102505397605563	0.000150642838908855	-4.53623100946167	1.01152249360639	0.552813222014445
ILMN_1374030	Dpt_predicted	0.0103681405169185	0.000152831445705144	-4.53042396019159	1.0069814802844	0.667037924638699
ILMN_1364908	Tmepai_predicted	0.0104441646934277	0.000156734345619082	-4.52027217262897	0.98382097998517	0.552966674811476
ILMN_1373876	Pmp22	0.011028307783093	0.000172786349216213	-4.48102296992059	0.896606450056995	0.677148916728569
ILMN_1349776	RT1-A2	0.011063152461662	0.000175356099490002	-4.47508074625079	0.858093927127702	2.23509189590703
ILMN_1362132	Aqp7	0.011135840473164	0.000180124199697512	4.46428249042222	0.855286797741466	-0.831272008571293
ILMN_1355383	Dab2	0.0112474050216594	0.000184768452604626	-4.4540363142052	0.834197488769388	0.536366790103239
ILMN_1350372	Ccnd1	0.0112951243794981	0.00018605386248696	-4.45124595672357	0.827840130300999	0.539392494398166
ILMN_1365255	Enpp1	0.0123733724010738	0.000219197069130597	-4.38526582671795	0.661128474124255	0.522126632611405
ILMN_1360587	Ccnb2	0.0133429122204368	0.000240519573835516	-4.34790209173301	0.521922147206826	0.582588468714292
ILMN_1370549	1200013a08rik	0.0144282115916373	0.000268410986853263	-4.30373565289159	0.485208920531194	0.646746091899143
ILMN_1359107	Ephx2	0.0151724463225117	0.00029236077360787	4.26932380408206	0.392204159322127	-0.587526019777723
ILMN_1375177	MGC72614	0.0157884436465634	0.000311240464373047	-4.24412388945638	0.349204930998108	0.592354980858886
ILMN_1370719	Fbln1_predicted	0.0159742403176742	0.000317740072917376	-4.23579986192958	0.325473466072825	0.543284434468729
ILMN_1355437	Tmod4_predicted	0.0160329304528886	0.000319619312407182	4.23342473892824	0.308171532318891	-0.552679035612265
ILMN_1370763	Serpine2	0.0165133833160848	0.000335795833537576	-4.2135369717521	0.267899890682297	0.635868773717997
ILMN_1376952	C1qtnf5	0.0167190126498927	0.000343688800643801	-4.20417714264538	0.180437151677477	0.660859310270666
ILMN_1373682	Tgfb2	0.0174981546799381	0.000376020373178086	-4.16794850369481	0.161152354023185	0.71063352093309
ILMN_1354352	LOC314472	0.0183391247187194	0.000405363238473956	4.13765846619015	0.0927027422097968	-0.593783778673135
ILMN_1350042	Thbs4	0.0183929113228625	0.000408313975111275	-4.13473411371715	0.0874667646596672	1.37155316144313
ILMN_1354941	Col3a1	0.018813210852681	0.000425162026551286	-4.11842906062264	0.0589230603287563	0.947625169537682
ILMN_1361990	Sctr	0.0189872558200404	0.000433310371242763	4.11077246010609	0.0223948959355269	-0.802505367763898
ILMN_1354289	Hamp	0.0207491934363414	0.000505763317344557	-4.04837914389279	-0.104253394938271	1.32989421375569
ILMN_1354048	Nupr1	0.0209987399807732	0.000515575332298875	-4.04062062214624	-0.12189731520871	0.766473177506921
ILMN_1365894	Serpinf1	0.020980214066127	0.000513257467941036	-4.04244009130506	-0.122698367913034	0.530252932904558
ILMN_1360855	Col5a2	0.0218642042669391	0.000558181301491363	-4.00854808902145	-0.195702372535187	0.723647176317259
ILMN_1353766	RGD1566136_predicted	0.020128513366593	0.000473946585732706	4.07460667980616	-0.231992389421972	-0.730605943617532
ILMN_1369791	RGD1565408_predicted	0.0237872483043214	0.000654801489529782	-3.94399572578885	-0.368523678266708	0.520037355759152
ILMN_1370066	Wisp2	0.0242717943372454	0.000674605658887165	-3.93193732659239	-0.402538389097193	1.17986325251433
ILMN_1352414	Tgfb3	0.025166517536852	0.000725172929068817	-3.90267007011197	-0.471304067329334	0.532379514431749
ILMN_1368740	Cpxm1_predicted	0.0254073008037425	0.000739275256973491	-3.89486778716631	-0.482708192369547	0.574939491955735
ILMN_1363044	RGD1561041_predicted	0.0258417451275818	0.000757250445509212	-3.88513350631192	-0.484231779615167	0.527354574464661
ILMN_1650212	LOC498564	0.0260884112153365	0.000770270099817909	-3.8782245026835	-0.513054043485199	0.501686846154008
ILMN_2040208	Bgn	0.0266551917692431	0.000795288765658722	-3.86526630110615	-0.553084903772326	0.731579508567512
ILMN_1362875	C1qtnf7_predicted	0.0277455415551993	0.000854190470553816	-3.83628338194379	-0.600763557520773	0.605934868215131
ILMN_1349017	LOC360627	0.0298191406534455	0.000966460475260697	-3.78613067585194	-0.707259452007018	0.699432627508378
ILMN_1361640	Ltbp2	0.0338159791367746	0.00118009854821759	-3.70483677887133	-0.90309782103649	1.26298444682774
ILMN_1369408	LOC306805	0.0346381715383624	0.00122570806358277	-3.68937305140302	-0.926548704657315	0.529068769760386
ILMN_1368086	Igfbp7	0.0384670221584543	0.00146945184029204	-3.6152752226899	-1.10289919342449	0.530587951258854
ILMN_1367740	Mt1a	0.0409311251938624	0.00163398958719153	-3.5718014444317	-1.1882392849121	0.906645112577907
ILMN_2038795	Rps9	0.04067297031418	0.0016162282303064	3.57628232245868	-1.25159534543952	-1.99596148349001
ILMN_1349422	Ptgs2	0.0385493435274654	0.00147878314646051	-3.61268479679493	-1.25239747062337	0.640796276449922
ILMN_1359657	Chi3l1	0.0450956494870744	0.00188910825804596	-3.51222699409973	-1.36687458881464	0.635528010894951
ILMN_1353924	Anxa1	0.0467200161659786	0.00202661527301697	-3.48330916762484	-1.38627440292623	0.571695541040746
ILMN_1366687	Itm2a	0.0488832730949486	0.00216603057091678	-3.45588561387997	-1.44921756058376	0.52518309982444
